,obs,mean_sal,exp_pts,std,std/exp_pts,std/$
LeBron James,11,11555.0,58.3,9.9,1.7,8.6
Andre Drummond,11,8964.0,44.0,13.3,3.0,14.8
Kyrie Irving,10,8390.0,42.1,7.6,1.8,9.1
LaMarcus Aldridge,10,8090.0,38.3,9.9,2.6,12.2
Kevin Love,11,7845.0,39.2,11.3,2.9,14.4
Spencer Dinwiddie,10,6680.0,34.5,8.1,2.3,12.1
Klay Thompson,10,7050.0,35.3,5.2,1.5,7.4
DeAndre Jordan,10,7360.0,34.8,9.5,2.7,12.9
Louis Williams,10,7350.0,37.9,11.7,3.1,15.9
Elfrid Payton,10,6180.0,30.5,10.6,3.5,17.2
Tobias Harris,11,6291.0,30.9,9.7,3.1,15.4
Pau Gasol,10,5820.0,28.3,15.3,5.4,26.3
Jayson Tatum,10,5820.0,26.8,5.8,2.2,10.0
Reggie Jackson,11,5800.0,28.1,7.5,2.7,12.9
Harrison Barnes,12,6375.0,34.1,5.9,1.7,9.3
Zach Randolph,11,5909.0,30.5,9.5,3.1,16.1
Dwyane Wade,10,5350.0,28.4,6.7,2.4,12.5
Marcus Smart,10,5250.0,25.6,7.7,3.0,14.7
Willie Cauley-Stein,10,5250.0,29.4,11.0,3.7,21.0
Buddy Hield,11,4727.0,24.8,13.6,5.5,28.8
Terry Rozier,10,4240.0,19.0,7.4,3.9,17.5
Patrick Mills,10,4160.0,20.9,5.9,2.8,14.2
Caris LeVert,10,5100.0,26.1,5.4,2.1,10.6
Dirk Nowitzki,12,4567.0,23.8,7.0,2.9,15.3
George Hill,10,4240.0,21.5,9.4,4.4,22.2
Jonathon Simmons,10,5750.0,28.2,10.5,3.7,18.3
J.R. Smith,11,4045.0,20.2,7.1,3.5,17.6
Wesley Matthews,12,4517.0,22.3,5.1,2.3,11.3
Juan Jose Barea,12,4892.0,26.2,7.2,2.7,14.7
Jae Crowder,11,3736.0,15.7,7.6,4.8,20.3
Yogi Ferrell,12,4283.0,16.1,10.8,6.7,25.2
Omri Casspi,10,4010.0,16.7,10.5,6.3,26.2
Stanley Johnson,11,3836.0,17.3,8.1,4.7,21.1
Bryn Forbes,10,3610.0,11.9,6.0,5.0,16.6
Jeff Green,11,4018.0,20.7,7.4,3.6,18.4
D.J. Augustin,10,3850.0,17.4,5.2,3.0,13.5
Manu Ginobili,10,3820.0,14.0,8.3,5.9,21.7
Bogdan Bogdanovic,11,3900.0,21.0,5.5,2.6,14.1
Ishmael Smith,11,3900.0,19.2,7.0,3.6,17.9
Joe Harris,10,3930.0,19.3,4.8,2.5,12.2
Kyle Korver,11,3645.0,17.9,5.6,3.1,15.4
Aron Baynes,10,3720.0,15.7,6.1,3.9,16.4
Garrett Temple,11,3727.0,16.1,8.0,5.0,21.5
Devin Harris,12,3633.0,17.5,8.1,4.6,22.3
Anthony Tolliver,11,3536.0,15.0,7.1,4.7,20.1
Tyler Zeller,10,3470.0,16.5,4.0,2.4,11.5
Daniel Theis,10,3520.0,12.5,8.3,6.6,23.6
Kosta Koufos,11,3418.0,14.9,8.0,5.4,23.4
Jarrett Allen,10,3420.0,14.8,6.6,4.5,19.3
Skal Labissiere,10,3350.0,10.7,6.9,6.4,20.6
Channing Frye,10,3330.0,12.8,6.3,4.9,18.9
Quincy Acy,10,3260.0,8.0,5.0,6.2,15.3
Luke Kennard,11,3391.0,13.1,6.7,5.1,19.8
Dwight Powell,12,3525.0,17.3,7.0,4.0,19.9
Bismack Biyombo,10,3260.0,13.6,6.7,4.9,20.6
Jordan Bell,10,3810.0,22.2,9.9,4.5,26.0
Salah Mejri,12,3058.0,11.8,5.6,4.7,18.3
Sindarius Thornwell,10,3090.0,6.6,7.8,11.8,25.2
Sam Dekker,10,3550.0,14.5,6.9,4.8,19.4
Kevon Looney,10,3160.0,7.8,3.3,4.2,10.4
C.J. Williams,10,3180.0,9.2,3.5,3.8,11.0
Vince Carter,10,3030.0,4.6,6.6,14.3,21.8
Davis Bertans,10,3250.0,9.4,9.0,9.6,27.7
Langston Galloway,11,3282.0,11.6,9.7,8.4,29.6
Eric Moreland,11,3000.0,8.7,6.0,6.9,20.0
Jawun Evans,10,3230.0,11.0,6.1,5.5,18.9
Maxi Kleber,12,3533.0,14.5,12.0,8.3,34.0
Frank Mason III,11,3718.0,19.0,5.2,2.7,14.0
Jose Calderon,11,3218.0,11.7,9.5,8.1,29.5
Giannis Antetokounmpo,10,11190.0,54.0,6.5,1.2,5.8
Karl-Anthony Towns,11,8873.0,44.4,12.1,2.7,13.6
Bradley Beal,11,7736.0,37.9,13.5,3.6,17.5
Jimmy Butler,11,8055.0,40.4,8.1,2.0,10.1
T.J. Warren,11,6691.0,31.4,12.4,3.9,18.5
Andrew Wiggins,11,6345.0,28.7,8.2,2.9,12.9
Jeff Teague,11,6418.0,31.6,13.0,4.1,20.3
Eric Bledsoe,11,6800.0,35.3,7.5,2.1,11.0
Khris Middleton,11,7045.0,36.6,7.2,2.0,10.2
Otto Porter,10,6420.0,30.2,7.0,2.3,10.9
Will Barton,10,6450.0,30.5,10.6,3.5,16.4
Taj Gibson,11,5927.0,30.0,7.7,2.6,13.0
Ricky Rubio,10,5420.0,24.3,6.4,2.6,11.8
Gary Harris,10,6020.0,30.2,7.8,2.6,13.0
Jamal Murray,11,5382.0,26.2,13.4,5.1,24.9
Marcin Gortat,11,5100.0,24.5,10.1,4.1,19.8
Malcolm Brogdon,11,4764.0,22.3,6.1,2.7,12.8
Joe Ingles,10,4930.0,25.6,6.0,2.3,12.2
Markieff Morris,10,4630.0,20.2,10.2,5.0,22.0
John Henson,11,4591.0,23.7,6.7,2.8,14.6
Alex Len,10,4790.0,22.4,11.6,5.2,24.2
Josh Richardson,10,5210.0,22.3,8.7,3.9,16.7
Tyler Ulis,11,4082.0,19.2,10.2,5.3,25.0
Tyus Jones,11,3782.0,12.2,10.5,8.6,27.8
Kelly Oubre Jr.,11,4645.0,22.6,7.6,3.4,16.4
Kelly Olynyk,10,5070.0,25.6,10.8,4.2,21.3
Josh Jackson,11,4091.0,16.9,9.9,5.9,24.2
Thon Maker,11,3609.0,12.6,4.7,3.7,13.0
Marquese Chriss,11,3836.0,16.6,7.3,4.4,19.0
Thabo Sefolosha,10,3700.0,16.1,8.7,5.4,23.5
Gorgui Dieng,11,3682.0,15.8,10.0,6.3,27.2
Jonas Jerebko,10,3750.0,18.0,7.0,3.9,18.7
Jamal Crawford,11,3645.0,15.2,6.7,4.4,18.4
Bam Adebayo,10,4070.0,19.6,7.1,3.6,17.4
Wayne Ellington,10,3810.0,21.7,10.5,4.8,27.6
Trey Lyles,11,4118.0,21.7,6.0,2.8,14.6
Alec Burks,10,4230.0,20.3,14.3,7.0,33.8
Mason Plumlee,11,4209.0,23.2,9.8,4.2,23.3
Jodie Meeks,11,3300.0,10.1,9.1,9.0,27.6
DeAndre Liggins,11,3391.0,8.5,2.5,2.9,7.4
Dragan Bender,11,3400.0,11.5,6.3,5.5,18.5
Mike Scott,11,3927.0,16.7,8.7,5.2,22.2
Troy Daniels,11,3618.0,13.3,10.0,7.5,27.6
Tomas Satoransky,11,3636.0,16.1,8.0,5.0,22.0
Royce O'Neale,10,3000.0,4.2,10.1,24.0,33.7
Marc Gasol,10,7980.0,38.6,8.3,2.2,10.4
Dillon Brooks,10,3810.0,16.0,3.4,2.1,8.9
James Ennis,10,3500.0,13.2,6.9,5.2,19.7
Ben McLemore,10,3400.0,14.4,7.9,5.5,23.2
Andrew Harrison,10,3730.0,14.5,7.4,5.1,19.8
Jarell Martin,10,3380.0,8.4,6.7,8.0,19.8
Deyonta Davis,10,3120.0,9.7,5.1,5.3,16.3
